organization_name,discipline_name,grid_id,discipline_id,number_researchers,pct_insiders,pct_domesticoutsiders,pct_foreignoutsiders,grid_country_code,established_year,country_name,geo_region,latitude,longitude,continent
University of La Laguna,All,grid.10041.34,99,862,72.85382843017578,18.90951156616211,8.236658096313477,ES,1927,Spain,Southern Europe,28.484815,-16.31285,Europe
University of La Laguna,Physical Sciences,grid.10041.34,2,163,35.582820892333984,41.10429763793945,23.312883377075195,ES,1927,Spain,Southern Europe,28.484815,-16.31285,Europe
University of La Laguna,Information and Computing Sciences,grid.10041.34,8,52,84.61538696289062,15.384615898132324,0.0,ES,1927,Spain,Southern Europe,28.484815,-16.31285,Europe
University of La Laguna,Engineering,grid.10041.34,9,79,78.48101043701172,13.924050331115724,7.594936370849609,ES,1927,Spain,Southern Europe,28.484815,-16.31285,Europe
University of La Laguna,Biological Sciences,grid.10041.34,6,94,88.2978744506836,7.446808338165283,4.255319118499756,ES,1927,Spain,Southern Europe,28.484815,-16.31285,Europe
University of La Laguna,Mathematical Sciences,grid.10041.34,1,37,83.78378295898438,10.810811042785645,5.405405521392822,ES,1927,Spain,Southern Europe,28.484815,-16.31285,Europe
University of Limerick,Psychology and Cognitive Sciences,grid.10049.3c,17,48,37.5,20.83333206176757,41.66666412353516,IE,1972,Ireland,Western and Northern Europe,52.674,-8.571,Europe
University of Limerick,Education,grid.10049.3c,13,51,62.74510192871094,13.72549057006836,23.52941131591797,IE,1972,Ireland,Western and Northern Europe,52.674,-8.571,Europe
University of Limerick,Engineering,grid.10049.3c,9,123,52.03251647949219,9.756096839904783,38.21138000488281,IE,1972,Ireland,Western and Northern Europe,52.674,-8.571,Europe
University of Limerick,Chemical Sciences,grid.10049.3c,3,74,40.5405387878418,8.108107566833496,51.351348876953125,IE,1972,Ireland,Western and Northern Europe,52.674,-8.571,Europe
University of Limerick,All,grid.10049.3c,99,757,47.29193878173828,16.116247177124023,36.5918083190918,IE,1972,Ireland,Western and Northern Europe,52.674,-8.571,Europe
University of Limerick,Medical and Health Sciences,grid.10049.3c,11,167,34.73053741455078,31.137725830078125,34.131736755371094,IE,1972,Ireland,Western and Northern Europe,52.674,-8.571,Europe
University of Limerick,Biological Sciences,grid.10049.3c,6,45,37.77777862548828,17.77777862548828,44.4444465637207,IE,1972,Ireland,Western and Northern Europe,52.674,-8.571,Europe
University of Limerick,Information and Computing Sciences,grid.10049.3c,8,50,52.0,6.0,42.0,IE,1972,Ireland,Western and Northern Europe,52.674,-8.571,Europe
UNSW Sydney,Education,grid.1005.4,13,78,37.17948913574219,35.897438049316406,26.923078536987305,AU,1949,Australia,Oceania,-33.917731,151.230964,Oceania
UNSW Sydney,Technology,grid.1005.4,10,127,31.496063232421875,22.83464431762696,45.66928863525391,AU,1949,Australia,Oceania,-33.917731,151.230964,Oceania
UNSW Sydney,Built Environment and Design,grid.1005.4,12,54,33.333335876464844,35.185184478759766,31.48147964477539,AU,1949,Australia,Oceania,-33.917731,151.230964,Oceania
UNSW Sydney,Biological Sciences,grid.1005.4,6,593,26.644182205200195,38.27993392944336,35.07588577270508,AU,1949,Australia,Oceania,-33.917731,151.230964,Oceania
UNSW Sydney,"Language, Communication and Culture",grid.1005.4,20,46,45.65217590332031,30.43478202819824,23.91304397583008,AU,1949,Australia,Oceania,-33.917731,151.230964,Oceania
UNSW Sydney,Information and Computing Sciences,grid.1005.4,8,295,32.88135528564453,31.52542495727539,35.59321975708008,AU,1949,Australia,Oceania,-33.917731,151.230964,Oceania
UNSW Sydney,Psychology and Cognitive Sciences,grid.1005.4,17,411,35.76642227172852,36.2530403137207,27.98053550720215,AU,1949,Australia,Oceania,-33.917731,151.230964,Oceania
UNSW Sydney,Agricultural and Veterinary Sciences,grid.1005.4,7,45,31.11111259460449,42.22222137451172,26.666667938232425,AU,1949,Australia,Oceania,-33.917731,151.230964,Oceania
UNSW Sydney,Chemical Sciences,grid.1005.4,3,347,31.123918533325195,21.90201759338379,46.974063873291016,AU,1949,Australia,Oceania,-33.917731,151.230964,Oceania
UNSW Sydney,All,grid.1005.4,99,5745,32.34116744995117,33.99477767944336,33.66405487060547,AU,1949,Australia,Oceania,-33.917731,151.230964,Oceania
UNSW Sydney,"Commerce, Management, Tourism and Services",grid.1005.4,15,163,46.01227188110352,25.15337371826172,28.83435440063477,AU,1949,Australia,Oceania,-33.917731,151.230964,Oceania
UNSW Sydney,Environmental Sciences,grid.1005.4,5,115,31.30434799194336,36.5217399597168,32.173912048339844,AU,1949,Australia,Oceania,-33.917731,151.230964,Oceania
UNSW Sydney,Physical Sciences,grid.1005.4,2,330,24.545455932617188,26.060604095458984,49.39393997192383,AU,1949,Australia,Oceania,-33.917731,151.230964,Oceania
UNSW Sydney,Medical and Health Sciences,grid.1005.4,11,1666,29.651859283447266,44.41776657104492,25.93037223815918,AU,1949,Australia,Oceania,-33.917731,151.230964,Oceania
UNSW Sydney,Economics,grid.1005.4,14,117,52.136756896972656,24.78632545471192,23.076923370361328,AU,1949,Australia,Oceania,-33.917731,151.230964,Oceania
UNSW Sydney,Mathematical Sciences,grid.1005.4,1,235,35.74468231201172,25.10638236999512,39.1489372253418,AU,1949,Australia,Oceania,-33.917731,151.230964,Oceania
UNSW Sydney,Engineering,grid.1005.4,9,700,33.85714340209961,23.71428680419922,42.42856979370117,AU,1949,Australia,Oceania,-33.917731,151.230964,Oceania
UNSW Sydney,Studies in Human Society,grid.1005.4,16,177,35.59321975708008,33.89830780029297,30.508474349975582,AU,1949,Australia,Oceania,-33.917731,151.230964,Oceania
UNSW Sydney,Earth Sciences,grid.1005.4,4,159,32.704402923583984,30.817609786987305,36.47798538208008,AU,1949,Australia,Oceania,-33.917731,151.230964,Oceania
Newcastle University,Economics,grid.1006.7,14,64,26.5625,46.875,26.5625,GB,1834,United Kingdom,Western and Northern Europe,54.978,-1.615,Europe
Newcastle University,Chemical Sciences,grid.1006.7,3,116,35.344825744628906,34.482757568359375,30.172412872314453,GB,1834,United Kingdom,Western and Northern Europe,54.978,-1.615,Europe
Newcastle University,Biological Sciences,grid.1006.7,6,456,37.28070068359375,37.5,25.219297409057617,GB,1834,United Kingdom,Western and Northern Europe,54.978,-1.615,Europe
Newcastle University,"Commerce, Management, Tourism and Services",grid.1006.7,15,51,29.411766052246094,49.01960754394531,21.568628311157227,GB,1834,United Kingdom,Western and Northern Europe,54.978,-1.615,Europe
Newcastle University,Physical Sciences,grid.1006.7,2,100,25.0,43.0,32.0,GB,1834,United Kingdom,Western and Northern Europe,54.978,-1.615,Europe
Newcastle University,Earth Sciences,grid.1006.7,4,55,29.09090805053711,49.090911865234375,21.81818199157715,GB,1834,United Kingdom,Western and Northern Europe,54.978,-1.615,Europe
Newcastle University,Agricultural and Veterinary Sciences,grid.1006.7,7,55,45.45454788208008,36.3636360168457,18.18181800842285,GB,1834,United Kingdom,Western and Northern Europe,54.978,-1.615,Europe
Newcastle University,Environmental Sciences,grid.1006.7,5,54,51.85185241699219,35.185184478759766,12.962963104248049,GB,1834,United Kingdom,Western and Northern Europe,54.978,-1.615,Europe
Newcastle University,Technology,grid.1006.7,10,55,40.0,30.90909194946289,29.09090805053711,GB,1834,United Kingdom,Western and Northern Europe,54.978,-1.615,Europe
Newcastle University,Information and Computing Sciences,grid.1006.7,8,131,37.404579162597656,29.7709903717041,32.82442855834961,GB,1834,United Kingdom,Western and Northern Europe,54.978,-1.615,Europe
Newcastle University,All,grid.1006.7,99,2704,38.23964691162109,39.127220153808594,22.63313674926757,GB,1834,United Kingdom,Western and Northern Europe,54.978,-1.615,Europe
Newcastle University,Medical and Health Sciences,grid.1006.7,11,871,40.75774765014648,41.1021842956543,18.14006805419922,GB,1834,United Kingdom,Western and Northern Europe,54.978,-1.615,Europe
Newcastle University,Engineering,grid.1006.7,9,266,38.721805572509766,32.70676803588867,28.571430206298828,GB,1834,United Kingdom,Western and Northern Europe,54.978,-1.615,Europe
Newcastle University,Built Environment and Design,grid.1006.7,12,31,54.83871078491211,29.032257080078125,16.129032135009766,GB,1834,United Kingdom,Western and Northern Europe,54.978,-1.615,Europe
Newcastle University,Psychology and Cognitive Sciences,grid.1006.7,17,131,29.7709903717041,45.03816604614258,25.19083976745605,GB,1834,United Kingdom,Western and Northern Europe,54.978,-1.615,Europe
