organization_name,for_division,grid_id,for_division_id,researchers,ResSameInst,ResSameCountry,ResOtherInstSameCountry,ResOtherCountry,country_code,latitude,longitude,univ_id
Heilongjiang University,Technology,grid.412067.6,10,26,0.6923076923076923,1.0,0.3076923076923077,0.0,CN,45.70709,126.624044,9628
Iran University of Medical Sciences,Technology,grid.411746.1,10,18,0.2777777777777778,0.8333333333333334,0.5555555555555556,0.16666666666666663,IR,35.748348,51.380363,9950
Rio de Janeiro State University,Technology,grid.412211.5,10,15,0.8,0.8666666666666667,0.06666666666666665,0.1333333333333333,BR,-22.911111,-43.236111,1486
Semnan University,Technology,grid.412475.1,10,8,0.25,1.0,0.75,0.0,IR,35.600556,53.436667,9490
COMSATS University Islamabad,Technology,grid.418920.6,10,67,0.3582089552238806,0.7164179104477612,0.3582089552238806,0.2835820895522389,PK,33.652844,73.15655,10261
Tufts University,Technology,grid.429997.8,10,22,0.18181818181818182,0.8181818181818182,0.6363636363636365,0.1818181818181817,US,42.409829,-71.121941,1183
University of Southern California,Technology,grid.42505.36,10,81,0.16049382716049382,0.691358024691358,0.5308641975308641,0.30864197530864207,US,34.02051,-118.28563,1238
North University of China,Technology,grid.440581.c,10,14,0.42857142857142855,0.7857142857142857,0.35714285714285715,0.21428571428571425,CN,,,9680
University of Chile,Technology,grid.443909.3,10,51,0.5294117647058824,0.7058823529411765,0.17647058823529416,0.2941176470588235,CL,-33.44332,-70.650585,1088
PSL Research University,Technology,grid.440907.e,10,1,0.0,1.0,1.0,0.0,FR,48.854692,2.33781,10554
TU Dresden,Technology,grid.4488.0,10,133,0.42105263157894735,0.7969924812030075,0.37593984962406013,0.20300751879699253,DE,51.029469,13.728975,228
University of Tehran,Technology,grid.46072.37,10,106,0.4528301886792453,0.7547169811320755,0.30188679245283023,0.24528301886792447,IR,35.703468,51.395198,1516
Queen Mary University of London,Technology,grid.4868.2,10,42,0.23809523809523808,0.47619047619047616,0.23809523809523808,0.5238095238095237,GB,51.524281,-0.040395,1034
Nanjing University of Aeronautics and Astronautics,Technology,grid.64938.30,10,74,0.6351351351351351,0.9054054054054054,0.2702702702702703,0.09459459459459463,CN,32.036006,118.813808,3343
Chalmers University of Technology,Technology,grid.5371.0,10,114,0.47368421052631576,0.6403508771929824,0.16666666666666669,0.3596491228070175,SE,57.688333,11.976667,672
University of Barcelona,Technology,grid.5841.8,10,71,0.7605633802816901,0.8732394366197183,0.11267605633802813,0.12676056338028174,ES,41.386667,2.163889,626
National and Kapodistrian University of Athens,Technology,grid.5216.0,10,59,0.6779661016949152,0.7796610169491526,0.10169491525423735,0.22033898305084743,GR,37.968264,23.778344,362
Eötvös Loránd University,Technology,grid.5591.8,10,11,0.7272727272727273,1.0,0.2727272727272727,0.0,HU,47.4906,19.0585,382
China University of Petroleum,Technology,grid.497420.c,10,29,0.5172413793103449,0.9655172413793104,0.4482758620689655,0.03448275862068961,CN,35.943575,120.171556,3416
China University of Petroleum,Technology,grid.497420.c,10,29,0.5172413793103449,0.9655172413793104,0.4482758620689655,0.03448275862068961,CN,35.943575,120.171556,9678
Leiden University,Technology,grid.5132.5,10,33,0.24242424242424243,0.6363636363636364,0.3939393939393939,0.36363636363636365,NL,52.156687,4.485037,487
École Polytechnique Fédérale de Lausanne,Technology,grid.5333.6,10,95,0.30526315789473685,0.43157894736842106,0.12631578947368421,0.5684210526315789,CH,46.519082,6.566747,697
